Timestamp,MAC Src,MAC Dst,IP Version,Protocol,IP Src,Src Port,IP Dst,Dst Port,TTL,IP Header Len,TCP Flags,Window Size,ICMP Type,ICMP Code,Length,protocol_type_tcp,protocol_type_udp,protocol_type_icmp,flag_S0,flag_SF,flag_REJ,flag_RSTO,flag_RSTR,service_http,service_domain,service_ftp_data,service_ssh,service_smtp,service_private,service_other
2025-06-23 00:24:52,08:00:27:20:f7:21,52:55:0a:00:02:03,,,,,,,,,,,,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 00:24:52,52:55:0a:00:02:03,08:00:27:20:f7:21,,,,,,,,,,,,,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 00:24:53,08:00:27:20:f7:21,52:55:0a:00:02:02,4,UDP,10.0.2.15,123,103.189.191.36,123,64,20,,,,,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:53,52:55:0a:00:02:02,08:00:27:20:f7:21,4,UDP,103.189.191.36,123,10.0.2.15,123,64,20,,,,,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,38262,185.199.111.133,443,64,20,FA,65535,,,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:56:00:00:00:02,,,,,,,,,,,,,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,36664,185.199.110.133,443,64,20,PA,62699,,,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,08:00:27:20:f7:21,52:55:0a:00:02:02,4,TCP,10.0.2.15,36664,185.199.110.133,443,64,20,FA,62699,,,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.111.133,443,10.0.2.15,38262,64,20,A,65535,,,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2025-06-23 00:24:57,52:55:0a:00:02:02,08:00:27:20:f7:21,4,TCP,185.199.110.133,443,10.0.2.15,36664,64,20,A,65535,,,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
